Event,Description,Category,Estimated Latitude,Estimated Longitude
1,20160126_08_13,Out of Catalog,37.316727,-97.41223
2,20160126_21_51,Out of Catalog,37.28795,-97.447302
3,20160128_20_38,Out of Catalog,37.315827,-97.417626
4,20160131_19_11,Out of Catalog,37.296942,-97.450899
5,20160212_18_56,Out of Catalog,37.323921,-97.414029
6,20160223_16_07,Out of Catalog,37.296942,-97.423921
7,20160306_04_44,Out of Catalog,37.313129,-97.418525
8,20160307_05_43,Out of Catalog,37.316727,-97.41223
9,20160317_18_37,Out of Catalog,37.31223,-97.418525
10,20160326_02_52,Out of Catalog,37.297842,-97.450899
11,20160328_03_47,Out of Catalog,37.302338,-97.456295
12,20160331_11_25,Out of Catalog,37.28705,-97.428417
13,20160331_18_37,Out of Catalog,37.28705,-97.445504
14,20160403_11_50,Out of Catalog,37.330216,-97.418525
15,20160411_04_05,Out of Catalog,37.314928,-97.417626
16,20160420_22_16,Out of Catalog,37.29964,-97.452698
17,20160504_03_54,Out of Catalog,37.295144,-97.42482
18,20160516_07_03,Out of Catalog,37.325719,-97.414928
19,20160531_22_15,Out of Catalog,37.314928,-97.417626
20,20160611_03_39,Out of Catalog,37.313129,-97.418525
21,20160613_10_20,Out of Catalog,37.325719,-97.414928
22,20160615_07_08,Out of Catalog,37.314928,-97.417626
23,20160615_17_40,Out of Catalog,37.296043,-97.423921
24,20160124_92400_92730_ZA,Within catalog,37.313129,-97.418525
25,20160311_192445_192630_ZA,Within catalog,37.28705,-97.445504
26,20160402_84800_84930_ZA,Within catalog,37.295144,-97.42482
27,20160403_222700_223700_ZA,Within catalog,37.313129,-97.432914
